key,source_text,target_text,status
block.comforts.hammock.missing_rope,There must also be a rope and nail on the other end to hang the hammock,反対側にもロープと釘が必要です,verified
block.comforts.hammock.no_rope,You must hang the hammock on a pair of rope and nail,ハンモックはロープと釘で吊るす必要があります,verified
block.comforts.hammock.no_sleep,You can only sleep during the day,日中のみ寝ることができます,verified
block.comforts.hammock.no_sleep.2,"You can only sleep during the day, at night, or during thunderstorms",日中、夜もしくは雷雨のときのみ寝ることができます,verified
block.comforts.hammock.no_space,There is not enough space to fit the hammock,ハンモックの設置に必要なスペースが足りません,verified
block.comforts.hammock.occupied,This hammock is occupied,このハンモックは既に使われています,verified
block.comforts.hammock.too_far_away,You may not rest now; the hammock is too far away,ハンモックから離れ過ぎているため寝ることができません,verified
block.comforts.hammock_black,Black Hammock Cloth,黒色のハンモック,verified
block.comforts.hammock_blue,Blue Hammock Cloth,青色のハンモック,verified
block.comforts.hammock_brown,Brown Hammock Cloth,茶色のハンモック,verified
block.comforts.hammock_cyan,Cyan Hammock Cloth,青緑色のハンモック,verified
block.comforts.hammock_gray,Gray Hammock Cloth,灰色のハンモック,verified
block.comforts.hammock_green,Green Hammock Cloth,緑色のハンモック,verified
block.comforts.hammock_light_blue,Light Blue Hammock Cloth,空色のハンモック,verified
block.comforts.hammock_light_gray,Light Gray Hammock Cloth,薄灰色のハンモック,verified
block.comforts.hammock_lime,Lime Hammock Cloth,黄緑色のハンモック,verified
block.comforts.hammock_magenta,Magenta Hammock Cloth,赤紫色のハンモック,verified
block.comforts.hammock_orange,Orange Hammock Cloth,橙色のハンモック,verified
block.comforts.hammock_pink,Pink Hammock Cloth,桃色のハンモック,verified
block.comforts.hammock_purple,Purple Hammock Cloth,紫色のハンモック,verified
block.comforts.hammock_red,Red Hammock Cloth,赤色のハンモック,verified
block.comforts.hammock_white,White Hammock Cloth,白色のハンモック,verified
block.comforts.hammock_yellow,Yellow Hammock Cloth,黄色のハンモック,verified
block.comforts.no_sleep,"This is decorative, you cannot sleep here",装飾用のため寝ることができません,verified
block.comforts.rope_and_nail,Rope and Nail,ロープと釘,verified
block.comforts.sleeping_bag.broke,The sleeping bag broke,寝袋が壊れました,verified
block.comforts.sleeping_bag.occupied,This sleeping bag is occupied,この寝袋は既に使われています,verified
block.comforts.sleeping_bag.too_far_away,You may not rest now; the sleeping bag is too far away,寝袋から離れ過ぎているため寝ることができません,verified
block.comforts.sleeping_bag_black,Black Sleeping Bag,黒色の寝袋,verified
block.comforts.sleeping_bag_blue,Blue Sleeping Bag,青色の寝袋,verified
block.comforts.sleeping_bag_brown,Brown Sleeping Bag,茶色の寝袋,verified
block.comforts.sleeping_bag_cyan,Cyan Sleeping Bag,青緑色の寝袋,verified
block.comforts.sleeping_bag_gray,Gray Sleeping Bag,灰色の寝袋,verified
block.comforts.sleeping_bag_green,Green Sleeping Bag,緑色の寝袋,verified
block.comforts.sleeping_bag_light_blue,Light Blue Sleeping Bag,空色の寝袋,verified
block.comforts.sleeping_bag_light_gray,Light Gray Sleeping Bag,薄灰色の寝袋,verified
block.comforts.sleeping_bag_lime,Lime Sleeping Bag,黄緑色の寝袋,verified
block.comforts.sleeping_bag_magenta,Magenta Sleeping Bag,赤紫色の寝袋,verified
block.comforts.sleeping_bag_orange,Orange Sleeping Bag,橙色の寝袋,verified
block.comforts.sleeping_bag_pink,Pink Sleeping Bag,桃色の寝袋,verified
block.comforts.sleeping_bag_purple,Purple Sleeping Bag,紫色の寝袋,verified
block.comforts.sleeping_bag_red,Red Sleeping Bag,赤色の寝袋,verified
block.comforts.sleeping_bag_white,White Sleeping Bag,白色の寝袋,verified
block.comforts.sleeping_bag_yellow,Yellow Sleeping Bag,黄色の寝袋,verified
capability.comforts.not_sleepy,You may not rest now; you don't feel sleepy yet,眠気を感じていないため寝ることができません,verified
comforts.networking.failed,Comforts Networking Failure: %s,Comforts ネットワークへの接続に失敗しました：%s,verified
comforts.skipping_day,Sleeping through this day,日中が過ごされます,verified
gui.comforts.config.autoUse.description,"If enabled, players automatically attempt to use sleeping bags when placed.",有効にすると、プレイヤーは寝袋を設置したとき自動的に睡眠を試みます。,verified
gui.comforts.config.autoUse.name,Automatically use sleeping bags,寝袋の自動使用,verified
gui.comforts.config.daySleepingPercentage.description,"What percentage of players must sleep to skip the day.
A percentage value of 0 will allow the day to be skipped by just 1 player, and a percentage value of 100 will require all players to sleep before skipping the day.
A value of less than 0 will default to the playerSleepingPercentage game rule.","日中をスキップするために必要なベッドで寝ているプレイヤーの割合を設定できます。
値が0のときは1人のプレイヤーだけで日中をスキップできるようになり、値が100のときは日中をスキップする前にすべてのプレイヤーが睡眠する必要があります。
値が0未満のときはデフォルトのplayerSleepingPercentageを使用します。",verified
gui.comforts.config.daySleepingPercentage.name,Day sleep percentage,日中の就寝率,verified
gui.comforts.config.dayWakeTimeOffset.description,"The amount of time, in ticks, to add or remove from the new time after sleeping through a night.",夜に睡眠した後の新しい時間に追加または削除するティック数を設定できます。,verified
gui.comforts.config.dayWakeTimeOffset.name,Night to day wake time offset,起床時間のオフセット（夜から日中）,verified
gui.comforts.config.enableHammockRecipes.description,"If enabled, the default hammock recipes will be available.",有効にすると、デフォルトのハンモックのレシピが利用可能になります。,verified
gui.comforts.config.enableHammockRecipes.name,Enable hammock recipes,ハンモックのレシピを有効化,verified
gui.comforts.config.enableSleepingBagRecipes.description,"If enabled, the default sleeping bag recipes will be available.",有効にすると、デフォルトの寝袋のレシピが利用可能になります。,verified
gui.comforts.config.enableSleepingBagRecipes.name,Enable sleeping bag recipes,寝袋のレシピを有効化,verified
