key,source_text,target_text,status
asynclocator.map.locating,Map (Locating...),マップ(ロケーティング),verified
asynclocator.map.none,Map (No nearby feature found),マップ (近くの機能が見つかりません),verified
key.modernfix,ModernFix,,pending
key.modernfix.config,Open config screen,設定ファイルを開く,verified
modernfix.config,ModernFix mixin config,ModernFixによるmixinの設定,verified
modernfix.config.done_restart,Done (restart required),完了 (再起動が必要),verified
modernfix.config.not_default," (modified)"," [変更済]",verified
modernfix.config.wiki,Open wiki,wikiを開く,verified
modernfix.connectedness_dynresoruces,Connectedness and ModernFix's dynamic resources option are not compatible. Remove Connectedness or disable dynamic resources in the ModernFix config.,ConnectednessとModernFixのダイナミックリソースオプションは互換性がありません。ModernFixの設定でConnectednessを削除するか、ダイナミックリソースを無効にしてください。,verified
modernfix.jei_load,"Loading JEI, this may take a while",JEIを読み込み中... しばらく時間がかかる可能性があります。,verified
modernfix.message.reload_config,"A mod config file change was detected. To prevent loading files that aren't done saving, reloading must be triggered by running /mfrc.",MODコンフィグファイルの変更が検出されました。保存が完了していないファイルのロードを防ぐため、/mfrc を実行してリロードをトリガーする必要があります。,verified
modernfix.no_ferritecore,FerriteCore is not installed. Memory usage will be very high.,FerriteCoreがインストールされていません。メモリ使用量は非常に高くなります。,verified
modernfix.no_lazydfu,"LazyDFU is not installed. If Minecraft needs to update game data from an older version, there may be noticeable lag.",LazyDFUがインストールされていません。Minecraftが古いバージョンのゲームデータを更新する必要がある場合、目立つラグが発生する可能性があります。,verified
modernfix.option.category.bugfixes,Bugfixes,バグ修正,verified
modernfix.option.category.bugfixes.description,Core bugfixes to improve game stability,ゲームの安定性を向上させるためのコアバグ修正,verified
modernfix.option.category.expert_only,Expert only,上級者のみ,verified
modernfix.option.category.expert_only.description,Do not change unless you know what you are doing,あなたが何をしているかを知っていない限り、これを変更しないでください!,verified
modernfix.option.category.performance,Performance,パフォーマンス,verified
modernfix.option.category.performance.description,Features that help improve game/launch performance,ゲーム/起動パフォーマンスの向上に役立つ機能,verified
modernfix.option.category.troubleshooting,Troubleshooting/Utilities,トラブルシューティング/ユーティリティ,verified
modernfix.option.category.troubleshooting.description,Features intended to assist in diagnosing problems,問題の診断に役立つ機能,verified
modernfix.option.disabled,disabled,無効,verified
modernfix.option.enabled,enabled,有効,verified
