key,source_text,target_text,status
block.createcafe.aloe_tea,Aloe Milk Tea,アロエミルク紅茶,translated
block.createcafe.apple_tea,Apple Milk Tea,リンゴミルク紅茶,translated
block.createcafe.apricot_tea,Apricot Milk Tea,アプリコットミルク紅茶,translated
block.createcafe.avocado_tea,Avocado Milk Tea,アボカドミルク紅茶,translated
block.createcafe.banana_syrup,Banana Syrup,バナナシロップ,translated
block.createcafe.banana_tea,Banana Milk Tea,バナナミルク紅茶,translated
block.createcafe.barberry_tea,Barberry Milk Tea,ナナカマドミルク紅茶,translated
block.createcafe.blackberry_tea,Blackberry Milk Tea,ブラックベリーミルク紅茶,translated
block.createcafe.blood_tea,Blood Orange Milk Tea,ブラッドオレンジミルク紅茶,translated
block.createcafe.blueberry_tea,Blueberry Milk Tea,ブルーベリーミルク紅茶,translated
block.createcafe.caramel_syrup,Caramel Syrup,キャラメルシロップ,translated
block.createcafe.cassava_crop,Cassava Seeds,キャッサバの種,translated
block.createcafe.cherry_tea,Cherry Milk Tea,チェリーミルク紅茶,translated
block.createcafe.citron_tea,Citron Milk Tea,シトロンミルク紅茶,translated
block.createcafe.coconut_syrup,Coconut Syrup,ココナッツシロップ,translated
block.createcafe.coconut_tea,Coconut Milk Tea,ココナッツミルク紅茶,translated
block.createcafe.coffee,Coffee,コーヒー,translated
block.createcafe.coffee_crop,Coffee Beans,コーヒー豆,translated
block.createcafe.dragonfruit_tea,Dragonfruit Milk Tea,ドラゴンフルーツミルク紅茶,translated
block.createcafe.durian_tea,Durian Milk Tea,ドリアンミルク紅茶,translated
block.createcafe.fig_tea,Fig Milk Tea,イチジクミルク紅茶,translated
block.createcafe.filling,Filling,詰め物,translated
block.createcafe.gooseberry_tea,Gooseberry Milk Tea,グーズベリーミルク紅茶,translated
block.createcafe.grape_tea,Grape Milk Tea,ブドウミルク紅茶,translated
block.createcafe.grapefruit_tea,Grapefruit Milk Tea,グレープフルーツミルク紅茶,translated
block.createcafe.guava_tea,Guava Milk Tea,グアバミルク紅茶,translated
block.createcafe.iced_coffee,Iced Coffee,アイスコーヒー,translated
block.createcafe.jackfruit_tea,Jackfruit Milk Tea,ジャックフルーツミルク紅茶,translated
block.createcafe.kiwi_tea,Kiwi Milk Tea,キウイミルク紅茶,translated
block.createcafe.lavender_tea,Lavender Milk Tea,ラベンダーミルク紅茶,translated
block.createcafe.lemon_tea,Lemon Milk Tea,レモンミルク紅茶,translated
block.createcafe.lime_tea,Lime Milk Tea,ライムミルク紅茶,translated
block.createcafe.lychee_tea,Lychee Milk Tea,ライチミルク紅茶,translated
block.createcafe.mana_tea,Mana Berry Milk Tea,マナベリーミルク紅茶,translated
block.createcafe.mandarin_tea,Mandarin Milk Tea,マンダリンミルク紅茶,translated
block.createcafe.mango_tea,Mango Milk Tea,マンゴーミルク紅茶,translated
block.createcafe.melted_sugar,Melted Sugar,溶かした砂糖,translated
block.createcafe.mint_syrup,Mint Syrup,ミントシロップ,translated
block.createcafe.orange_tea,Orange Milk Tea,オレンジミルク紅茶,translated
block.createcafe.oreo_tea,Oreo Milk Tea,オレオミルク紅茶,translated
block.createcafe.papaya_tea,Papaya Milk Tea,パパイヤミルク紅茶,translated
block.createcafe.passionfruit_tea,Passionfruit Milk Tea,パッションフルーツミルク紅茶,translated
block.createcafe.peach_tea,Peach Milk Tea,モモミルク紅茶,translated
block.createcafe.persimmon_tea,Persimmon Milk Tea,カキミルク紅茶,translated
block.createcafe.pineapple_tea,Pineapple Milk Tea,パイナップルミルク紅茶,translated
block.createcafe.plum_tea,Plum Milk Tea,ウメミルク紅茶,translated
block.createcafe.pomegranate_tea,Pomegranate Milk Tea,ザクロミルク紅茶,translated
block.createcafe.pomelo_tea,Pomelo Milk Tea,ポメロミルク紅茶,translated
block.createcafe.pumpkin_tea,Pumpkin Milk Tea,カボチャミルク紅茶,translated
block.createcafe.raspberry_syrup,Raspberry Syrup,ラズベリーシロップ,translated
block.createcafe.raspberry_tea,Raspberry Milk Tea,ラズベリーミルク紅茶,translated
block.createcafe.redlove_tea,Redlove Milk Tea,レッドラブミルク紅茶,translated
block.createcafe.starfruit_tea,Starfruit Milk Tea,スターフルーツミルク紅茶,translated
block.createcafe.strawberry_syrup,Strawberry Syrup,イチゴシロップ,translated
block.createcafe.strawberry_tea,Strawberry Milk Tea,イチゴミルク紅茶,translated
block.createcafe.sweetberry_tea,Sweet Berry Milk Tea,スウィートベリーミルク紅茶,translated
block.createcafe.tamarind_tea,Tamarind Milk Tea,タマリンドミルク紅茶,translated
block.createcafe.vanilla_syrup,Vanilla Syrup,バニラシロップ,translated
block.createcafe.vanilla_tea,Vanilla Milk Tea,バニラミルク紅茶,translated
block.createcafe.watermelon_tea,Watermelon Milk Tea,スイカミルク紅茶,translated
block.createcafe.yucca_tea,Yucca Milk Tea,ユッカミルク紅茶,translated
effect.createcafe.caffeinated,Caffeinated,カフェイン,translated
effect.createcafe.caffeine_crash,Caffeine Crash,カフェイン崩壊,translated
fluid.createcafe.banana_syrup,Banana Syrup,バナナシロップ,translated
fluid.createcafe.caramel_syrup,Caramel Syrup,キャラメルシロップ,translated
fluid.createcafe.coconut_syrup,Coconut Syrup,ココナッツシロップ,translated
fluid.createcafe.coffee,Coffee,コーヒー,translated
fluid.createcafe.iced_coffee,Iced Coffee,アイスコーヒー,translated
fluid.createcafe.mint_syrup,Mint Syrup,ミントシロップ,translated
fluid.createcafe.raspberry_syrup,Raspberry Syrup,ラズベリーシロップ,translated
fluid.createcafe.strawberry_syrup,Strawberry Syrup,イチゴシロップ,translated
fluid.createcafe.vanilla_syrup,Vanilla Syrup,バニラシロップ,translated
item.createcafe.aloe_milk_tea,Aloe Milk Tea,アロエミルク紅茶,translated
item.createcafe.aloe_tea_bucket,Aloe Tea Bucket,アロエ紅茶バケツ,translated
item.createcafe.apple_milk_tea,Apple Milk Tea,リンゴミルク紅茶,translated
item.createcafe.apple_tea_bucket,Apple Tea Bucket,リンゴ紅茶バケツ,translated
item.createcafe.apricot_milk_tea,Apricot Milk Tea,アプリコットミルク紅茶,translated
item.createcafe.apricot_tea_bucket,Apricot Tea Bucket,アプリコット紅茶バケツ,translated
item.createcafe.avocado_milk_tea,Avocado Milk Tea,アボカドミルク紅茶,translated
item.createcafe.avocado_tea_bucket,Avocado Tea Bucket,アボカド紅茶バケツ,translated
item.createcafe.banana_iced_coffee,Banana Iced Coffee,バナナアイスコーヒー,translated
item.createcafe.banana_milk_tea,Banana Milk Tea,バナナミルク紅茶,translated
item.createcafe.banana_syrup_bucket,Banana Syrup Bucket,バナナシロップバケツ,translated
item.createcafe.banana_tea_bucket,Banana Tea Bucket,バナナ紅茶バケツ,translated
item.createcafe.barberry_milk_tea,Barberry Milk Tea,ナナカマドミルク紅茶,translated
item.createcafe.barberry_tea_bucket,Barberry Tea Bucket,ナナカマド紅茶バケツ,translated
item.createcafe.blackberry_milk_tea,Blackberry Milk Tea,ブラックベリーミルク紅茶,translated
item.createcafe.blackberry_tea_bucket,Blackberry Tea Bucket,ブラックベリー紅茶バケツ,translated
item.createcafe.blood_orange,Blood Orange,ブラッドオレンジ,translated
item.createcafe.blood_orange_milk_tea,Blood Orange Milk Tea,ブラッドオレンジミルク紅茶,translated
item.createcafe.blood_tea_bucket,Blood Tea Bucket,ブラッドオレンジ紅茶バケツ,translated
item.createcafe.blueberry_milk_tea,Blueberry Milk Tea,ブルーベリーミルク紅茶,translated
item.createcafe.blueberry_tea_bucket,Blueberry Tea Bucket,ブルーベリー紅茶バケツ,translated
item.createcafe.boba,Boba,タピオカ,translated
item.createcafe.boba_cup,Boba Cup,タピオカカップ,translated
item.createcafe.caramel_iced_coffee,Caramel Iced Coffee,キャラメルアイスコーヒー,translated
item.createcafe.caramel_syrup_bucket,Caramel Syrup Bucket,キャラメルシロップバケツ,translated
item.createcafe.cassava_root,Cassava Root,キャッサバの根,translated
item.createcafe.cassava_seeds,Cassava Seeds,キャッサバの種,translated
item.createcafe.cherry_milk_tea,Cherry Milk Tea,チェリーミルク紅茶,translated
item.createcafe.cherry_tea_bucket,Cherry Tea Bucket,チェリー紅茶バケツ,translated
item.createcafe.citron_milk_tea,Citron Milk Tea,シトロンミルク紅茶,translated
item.createcafe.citron_tea_bucket,Citron Tea Bucket,シトロン紅茶バケツ,translated
item.createcafe.coconut_iced_coffee,Coconut Iced Coffee,ココナッツアイスコーヒー,translated
item.createcafe.coconut_milk_tea,Coconut Milk Tea,ココナッツミルク紅茶,translated
item.createcafe.coconut_syrup_bucket,Coconut Syrup Bucket,ココナッツシロップバケツ,translated
item.createcafe.coconut_tea_bucket,Coconut Tea Bucket,ココナッツ紅茶バケツ,translated
item.createcafe.coffee_beans,Coffee Beans,コーヒー豆,translated
item.createcafe.coffee_fruit,Coffee Fruit,コーヒーの実,translated
item.createcafe.coffee_grounds,Coffee Grounds,コーヒーかす,translated
item.createcafe.dragonfruit_milk_tea,Dragonfruit Milk Tea,ドラゴンフルーツミルク紅茶,translated
item.createcafe.dragonfruit_tea_bucket,Dragonfruit Tea Bucket,ドラゴンフルーツ紅茶バケツ,translated
item.createcafe.durian_milk_tea,Durian Milk Tea,ドリアンミルク紅茶,translated
item.createcafe.durian_tea_bucket,Durian Tea Bucket,ドリアン紅茶バケツ,translated
item.createcafe.empty_boba_cup,Empty Boba Cup,空のタピオカカップ,translated
item.createcafe.fig_milk_tea,Fig Milk Tea,イチジクミルク紅茶,translated
item.createcafe.fig_tea_bucket,Fig Tea Bucket,イチジク紅茶バケツ,translated
item.createcafe.filling_bucket,Filling Bucket,詰め物バケツ,translated
item.createcafe.gooseberry_milk_tea,Gooseberry Milk Tea,グーズベリーミルク紅茶,translated
item.createcafe.gooseberry_tea_bucket,Gooseberry Tea Bucket,グーズベリー紅茶バケツ,translated
item.createcafe.grape_milk_tea,Grape Milk Tea,ブドウミルク紅茶,translated
item.createcafe.grape_tea_bucket,Grape Tea Bucket,ブドウ紅茶バケツ,translated
item.createcafe.grapefruit_milk_tea,Grapefruit Milk Tea,グレープフルーツミルク紅茶,translated
item.createcafe.grapefruit_tea_bucket,Grapefruit Tea Bucket,グレープフルーツ紅茶バケツ,translated
item.createcafe.guava_milk_tea,Guava Milk Tea,グアバミルク紅茶,translated
item.createcafe.guava_tea_bucket,Guava Tea Bucket,グアバ紅茶バケツ,translated
item.createcafe.iced_coffee,Iced Coffee,アイスコーヒー,translated
item.createcafe.iced_coffee_cup,Iced Coffee Cup,アイスコーヒーカップ,translated
item.createcafe.iced_coffee_cup_ice,Iced Coffee Cup with Ice,氷入りアイスコーヒーカップ,translated
item.createcafe.iced_coffee_milk,Iced Coffee with Milk,ミルク入りアイスコーヒー,translated
item.createcafe.jackfruit_milk_tea,Jackfruit Milk Tea,ジャックフルーツミルク紅茶,translated
item.createcafe.jackfruit_tea_bucket,Jackfruit Tea Bucket,ジャックフルーツ紅茶バケツ,translated
item.createcafe.kiwi_milk_tea,Kiwi Milk Tea,キウイミルク紅茶,translated
item.createcafe.kiwi_tea_bucket,Kiwi Tea Bucket,キウイ紅茶バケツ,translated
item.createcafe.lavender_milk_tea,Lavender Milk Tea,ラベンダーミルク紅茶,translated
item.createcafe.lavender_tea_bucket,Lavender Tea Bucket,ラベンダー紅茶バケツ,translated
item.createcafe.lemon_milk_tea,Lemon Milk Tea,レモンミルク紅茶,translated
item.createcafe.lemon_tea_bucket,Lemon Tea Bucket,レモン紅茶バケツ,translated
item.createcafe.lime_milk_tea,Lime Milk Tea,ライムミルク紅茶,translated
item.createcafe.lime_tea_bucket,Lime Tea Bucket,ライム紅茶バケツ,translated
item.createcafe.lychee_milk_tea,Lychee Milk Tea,ライチミルク紅茶,translated
item.createcafe.lychee_tea_bucket,Lychee Tea Bucket,ライチ紅茶バケツ,translated
item.createcafe.mana_berries,Mana Berries,マナベリー,translated
item.createcafe.mana_berry_milk_tea,Mana Berry Milk Tea,マナベリーミルク紅茶,translated
item.createcafe.mana_tea_bucket,Mana Tea Bucket,マナ紅茶バケツ,translated
item.createcafe.mandarin_milk_tea,Mandarin Milk Tea,マンダリンミルク紅茶,translated
item.createcafe.mandarin_tea_bucket,Mandarin Tea Bucket,マンダリン紅茶バケツ,translated
item.createcafe.mango_milk_tea,Mango Milk Tea,マンゴーミルク紅茶,translated
item.createcafe.mango_tea_bucket,Mango Tea Bucket,マンゴー紅茶バケツ,translated
item.createcafe.melted_sugar_bucket,Melted Sugar Bucket,溶かした砂糖バケツ,translated
item.createcafe.mint_iced_coffee,Mint Iced Coffee,ミントアイスコーヒー,translated
item.createcafe.mint_syrup_bucket,Mint Syrup Bucket,ミントシロップバケツ,translated
item.createcafe.orange_milk_tea,Orange Milk Tea,オレンジミルク紅茶,translated
item.createcafe.orange_tea_bucket,Orange Tea Bucket,オレンジ紅茶バケツ,translated
item.createcafe.oreo,Oreo,オレオ,translated
item.createcafe.oreo_crushed,Crushed Oreo,砕いたオレオ,translated
item.createcafe.oreo_dough,Oreo Dough,オレオ生地,translated
item.createcafe.oreo_half,Oreo Half,オレオハーフ,translated
item.createcafe.oreo_half_raw,Oreo Half Raw,生のオレオハーフ,translated
item.createcafe.oreo_incomplete,Incomplete Oreo,不完全なオレオ,translated
item.createcafe.oreo_milk_tea,Oreo Milk Tea,オレオミルク紅茶,translated
item.createcafe.oreo_tea_bucket,Oreo Tea Bucket,オレオ紅茶バケツ,translated
item.createcafe.papaya_milk_tea,Papaya Milk Tea,パパイヤミルク紅茶,translated
item.createcafe.papaya_tea_bucket,Papaya Tea Bucket,パパイヤ紅茶バケツ,translated
item.createcafe.passionfruit_milk_tea,Passionfruit Milk Tea,パッションフルーツミルク紅茶,translated
item.createcafe.passionfruit_tea_bucket,Passionfruit Tea Bucket,パッションフルーツ紅茶バケツ,translated
item.createcafe.peach_milk_tea,Peach Milk Tea,モモミルク紅茶,translated
item.createcafe.peach_tea_bucket,Peach Tea Bucket,モモ紅茶バケツ,translated
item.createcafe.persimmon_milk_tea,Persimmon Milk Tea,カキミルク紅茶,translated
item.createcafe.persimmon_tea_bucket,Persimmon Tea Bucket,カキ紅茶バケツ,translated
item.createcafe.pineapple_milk_tea,Pineapple Milk Tea,パイナップルミルク紅茶,translated
item.createcafe.pineapple_tea_bucket,Pineapple Tea Bucket,パイナップル紅茶バケツ,translated
item.createcafe.plum_milk_tea,Plum Milk Tea,ウメミルク紅茶,translated
item.createcafe.plum_tea_bucket,Plum Tea Bucket,ウメ紅茶バケツ,translated
item.createcafe.pomegranate_milk_tea,Pomegranate Milk Tea,ザクロミルク紅茶,translated
item.createcafe.pomegranate_tea_bucket,Pomegranate Tea Bucket,ザクロ紅茶バケツ,translated
item.createcafe.pomelo_milk_tea,Pomelo Milk Tea,ポメロミルク紅茶,translated
item.createcafe.pomelo_tea_bucket,Pomelo Tea Bucket,ポメロ紅茶バケツ,translated
item.createcafe.pumpkin_milk_tea,Pumpkin Milk Tea,カボチャミルク紅茶,translated
item.createcafe.pumpkin_tea_bucket,Pumpkin Tea Bucket,カボチャ紅茶バケツ,translated
