key,source_text,target_text,status
attribute.xycraft.hover_flight,Hover Flight,ホバーフライト,translated
block.xycraft_machines.buffer,Buffer,バッファ,translated
block.xycraft_machines.charger,Charger,チャージャー,translated
block.xycraft_machines.charger.tooltip,Charges items using external energy,外部エネルギーを使用してアイテムをチャージします,translated
block.xycraft_machines.coagulated_lava,Coagulated Lava,凝固した溶岩,translated
block.xycraft_machines.coagulated_water,Coagulated Water,凝固した水,translated
block.xycraft_machines.collector,Collector,コレクター,translated
block.xycraft_machines.collector.tooltip,Filterable & collects items before they become entities.,フィルタリング可能であり、エンティティになる前にアイテムを収集します。,translated
block.xycraft_machines.engineering_table,Engineering Table,エンジニアリングテーブル,translated
block.xycraft_machines.extractor,Extractor,エクストラクター,translated
block.xycraft_machines.extractor.tooltip,Extracts Items & Fluids out of the environment.,環境からアイテムと流体を抽出します。,translated
block.xycraft_machines.fabricator,Fabricator,ファブリケーター,translated
block.xycraft_machines.fabricator.tooltip,Crafts items automatically.,自動的にアイテムを製造します。,translated
block.xycraft_machines.flare,Flare,フレア,translated
block.xycraft_machines.fluid_selector,Fluid Selector,流体セレクター,translated
block.xycraft_machines.fluid_selector.tooltip.0,Creative item: ,クリエイティブアイテム: ,translated
block.xycraft_machines.fluid_selector.tooltip.1,Creates an unlimited amount of a fluid!,無制限の流体を生成します！,translated
block.xycraft_machines.fluid_void,Fluid Void,流体ボイド,translated
block.xycraft_machines.fluid_void.tooltip,Stops fluids from flowing into adjacent blocks.,流体が隣接するブロックに流れ込むのを防ぎます。,translated
block.xycraft_machines.hardened_gravel,Hardened Gravel,硬化した砂利,translated
block.xycraft_machines.hardened_red_sand,Hardened Red Sand,硬化した赤砂,translated
block.xycraft_machines.hardened_sand,Hardened Sand,硬化した砂,translated
block.xycraft_machines.hover_pylon,Hover Pylon,ホバーパイロン,translated
block.xycraft_machines.hydro_pump,Hydro Pump,ハイドロポンプ,translated
block.xycraft_machines.hydro_pump.tooltip.0,Automatically pumps water into a connected tank.,接続されたタンクに自動的に水をポンプで供給します。,translated
block.xycraft_machines.hydro_pump.tooltip.1,Can be extracted from at a higher rate.,より高い速度で抽出できます。,translated
block.xycraft_machines.hydro_pump.tooltip.2,Base Rate: %s per cycle.,基本速度: サイクルあたり%s。,translated
block.xycraft_machines.hydro_pump.tooltip.3,Waterlogged: %s per cycle,防水: サイクルあたり%s,translated
block.xycraft_machines.ignition_plate,Ignition Plate,点火プレート,translated
block.xycraft_machines.ignition_plate.tooltip,Fire on demand!,オンデマンドで火を発生させます！,translated
block.xycraft_machines.illumination_field,Illumination Field,照明フィールド,translated
block.xycraft_machines.illumination_field.tooltip,Illuminates a volume of area!,広い領域を照らします！,translated
block.xycraft_machines.isolator,Isolator,アイソレーター,translated
block.xycraft_machines.item_io,Item IO,アイテムIO,translated
block.xycraft_machines.item_io.tooltip,The fill or drain side can be toggled with a wrench,充填または排出側はレンチでトグルできます,translated
block.xycraft_machines.item_selector,Item Selector,アイテムセレクター,translated
block.xycraft_machines.item_selector.tooltip.0,Creative item: ,クリエイティブアイテム: ,translated
block.xycraft_machines.item_selector.tooltip.1,Creates an unlimited amount of items!,無制限のアイテムを生成します！,translated
block.xycraft_machines.light_field,Light Field,ライトフィールド,translated
block.xycraft_machines.light_field.tooltip.0,Prevents spawns in a cubed volume.,立方体の体積内でスポーンを防ぎます。,translated
block.xycraft_machines.light_field.tooltip.1,Radius: %s,半径: %s,translated
block.xycraft_machines.machine_base,Machine Base,マシンベース,translated
block.xycraft_machines.mekanical_condenser,Mekanical Chemical Condenser,メカニカルケミカルコンデンサー,translated
block.xycraft_machines.mekanical_evaporator,Mekanical Fluid Evaporator,メカニカル流体蒸発器,translated
block.xycraft_machines.nitrogen_extractor,Nitrogen Extractor,窒素エクストラクター,translated
block.xycraft_machines.nitrogen_extractor.tooltip,70%% seems excessive! Let's bring it down a bit.,70%%は過剰のようです！少し下げましょう。,translated
block.xycraft_machines.pipe_energy,Energy Pipe,エネルギーパイプ,translated
block.xycraft_machines.pipe_fluid,Fluid Pipe,流体パイプ,translated
block.xycraft_machines.planter,Accelerated Planter,加速プランター,translated
block.xycraft_machines.power_core,Power Core,パワーコア,translated
block.xycraft_machines.proto,ProtoBlock,プロトブロック,translated
block.xycraft_machines.resin_block,Block of Resin,レジンブロック,translated
block.xycraft_machines.soaryn_box,Soaryn Box,Soarynボックス,translated
block.xycraft_machines.soaryn_box.tooltip,It's not random if you put it there!,そこに置いたなら、ランダムではありません！,translated
block.xycraft_machines.stake,Balloon on a Stick,ステークにバルーン,translated
block.xycraft_machines.stake.tooltip,How... did you inflate a wool balloon?,どうやってウール風船を膨らませたの？,translated
block.xycraft_machines.valve,Valve,バルブ,translated
block.xycraft_machines.valve.tooltip.0,Allows the creation of tanks!,タンクの作成を可能にします！,translated
block.xycraft_machines.valve.tooltip.1,Maximum size: %s,最大サイズ: %s,translated
block.xycraft_machines.void_container,Void Container,ボイドコンテナー,translated
block.xycraft_machines.void_container.tooltip,Black hole contained within! Can be used to void things.,内に格納されたブラックホール！物を無効化するために使用できます。,translated
block.xycraft_machines.water_block,Water Block,ウォーターブロック,translated
block.xycraft_machines.water_block.tooltip,Schrödinger's water block!,シュレーディンガーの水ブロック！,translated
commands.xycraft.buildtank.failed,No blocks placed,ブロックが配置されていません,translated
commands.xycraft.buildtank.toobig,"Too many blocks in the specified area (maximum %s, specified %s)",指定されたエリアにあるブロックが多すぎます（最大%s、指定%s）,translated
config.jade.plugin_xycraft,XyCraft,,pending
config.jade.plugin_xycraft.energy_pipe_debug,Energy Pipe Debug,エネルギーパイプデバッグ,translated
config.jade.plugin_xycraft.extractor_component,Extractor Info,エクストラクター情報,translated
config.jade.plugin_xycraft.tank_component,Tank Info,タンク情報,translated
gui.xycraft_machines.collector,Collector,コレクター,translated
gui.xycraft_machines.fabricator.always_on,Always On,常にオン,translated
gui.xycraft_machines.fabricator.high_signal,High Signal,ハイシグナル,translated
gui.xycraft_machines.fabricator.pulse,Pulse,パルス,translated
gui.xycraft_machines.tank,Tank,タンク,translated
gui.xycraft_machines.tank.capacity,Capacity,容量,translated
gui.xycraft_machines.tank.empty,Empty,空,translated
item.xycraft_machines.alloy,Alloy,合金,translated
item.xycraft_machines.aluminum_clump,Aluminum Clump,アルミニウムクランプ,translated
item.xycraft_machines.aluminum_crystal,Aluminum Crystal,アルミニウムクリスタル,translated
item.xycraft_machines.aluminum_dirty_dust,Dirty Aluminum Dust,汚いアルミニウムダスト,translated
item.xycraft_machines.aluminum_dust,Aluminum Dust,アルミニウムダスト,translated
item.xycraft_machines.aluminum_shard,Aluminum Shard,アルミニウムシャード,translated
item.xycraft_machines.aluminum_sheet,Aluminum Sheet,アルミニウムシート,translated
item.xycraft_machines.aluminum_wrench,Aluminum Wrench,アルミニウムレンチ,translated
item.xycraft_machines.cake_base,Cake Base,ケーキベース,translated
item.xycraft_machines.cheese,Cheese,チーズ,translated
item.xycraft_machines.copper_nugget,Copper Nugget,銅ナゲット,translated
item.xycraft_machines.copper_sheet,Copper Sheet,銅シート,translated
item.xycraft_machines.creative_cell,Creative Cell,クリエイティブセル,translated
item.xycraft_machines.curds,Curds,カッテージチーズ,translated
item.xycraft_machines.dough,Dough,生地,translated
item.xycraft_machines.durable_cell,Durable Cell,耐久性セル,translated
item.xycraft_machines.dye_palette,Dye Palette,染料パレット,translated
item.xycraft_machines.flare_rod,Flare Rod,フレアロッド,translated
item.xycraft_machines.flare_rod.tooltip,Consumes %s to place a light,%sを消費してライトを配置します,translated
item.xycraft_machines.flatter_dough,Flatter Dough,フラット生地,translated
item.xycraft_machines.flour,Flour,小麦粉,translated
item.xycraft_machines.foil,Foil,箔,translated
item.xycraft_machines.gauntlet,Gauntlet,ガントレット,translated
item.xycraft_machines.gauntlet_improved,Improved Gauntlet,改良ガントレット,translated
item.xycraft_machines.gauntlet_perfected,Perfected Gauntlet,完成ガントレット,translated
item.xycraft_machines.gold_sheet,Gold Sheet,金シート,translated
item.xycraft_machines.hover_pack,Hover Pack,ホバーパック,translated
item.xycraft_machines.hushpuppies,Hushpuppies,ハッシュパピー,translated
item.xycraft_machines.ice_cream,Ice Cream,アイスクリーム,translated
item.xycraft_machines.incomplete_processor,Incomplete Processor,不完全なプロセッサー,translated
item.xycraft_machines.iron_sheet,Iron Sheet,鉄シート,translated
item.xycraft_machines.kilogram_cake,Kilogram Cake,キログラムケーキ,translated
item.xycraft_machines.module_archon_affinity,Archon Affinity Specialization Module,アルコン関連性特殊化モジュール,translated
item.xycraft_machines.module_area_survey,Area Survey Module,エリアサーベイモジュール,translated
item.xycraft_machines.module_area_survey.tooltip,Unlocks a toggleable 3x3 mining ability,トグル可能な3x3採掘能力をアンロックします,translated
item.xycraft_machines.module_auto_smelt,Vulcanization Module,火山化モジュール,translated
item.xycraft_machines.module_bastille,Bastille Specialization Module,バスティーユ特殊化モジュール,translated
item.xycraft_machines.module_efficiency,Energy Efficiency Module,エネルギー効率モジュール,translated
item.xycraft_machines.module_environmental,Environmental Processing Module,環境処理モジュール,translated
item.xycraft_machines.module_fortune,Fortune Module,フォーチュンモジュール,translated
item.xycraft_machines.module_fortune.tooltip,Provides Fortune I to a modular tool,モジュール式ツールにフォーチュンIを提供します,translated
item.xycraft_machines.module_hunter,Hunter Specialization Module,ハンター特殊化モジュール,translated
item.xycraft_machines.module_hunter.tooltip,Specializes a modular weapon for  Looting VII,モジュール式武器をルーティングVIIに特殊化します,translated
item.xycraft_machines.module_looting,Looting Module,ルーティングモジュール,translated
item.xycraft_machines.module_looting.tooltip,Provides Looting I to a modular weapon,モジュール式武器にルーティングIを提供します,translated
item.xycraft_machines.module_mining_mk1,Mining Module,採掘モジュール,translated
item.xycraft_machines.module_mining_mk1.tooltip,Improves mining speed,採掘速度を向上させます,translated
item.xycraft_machines.module_mining_mk2,Overclocked Mining Module,オーバークロック採掘モジュール,translated
