key,source_text,target_text,status
_comment,Messages,メッセージ,translated
block.rftoolsstorage.modular_storage,Modular Storage,モジュラーストレージ,translated
block.rftoolsstorage.remote_storage,Remote Storage,リモートストレージ,translated
block.rftoolsstorage.storage_scanner,Storage Scanner,ストレージスキャナー,translated
item.rftoolsstorage.dump_module,Dump Screen Module,ダンプスクリーンモジュール,translated
item.rftoolsstorage.filter_module,Filter Module,フィルターモジュール,translated
item.rftoolsstorage.generic_module,Generic Type Module,汎用タイプモジュール,translated
item.rftoolsstorage.oredict_module,Ore Dictionary Type Module,鉱石辞書タイプモジュール,translated
item.rftoolsstorage.storage_control_module,Storage Control Screen Module,ストレージコントロールスクリーンモジュール,translated
item.rftoolsstorage.storage_module0,Tier 1 Storage Module,Tier 1ストレージモジュール,translated
item.rftoolsstorage.storage_module1,Tier 2 Storage Module,Tier 2ストレージモジュール,translated
item.rftoolsstorage.storage_module2,Tier 3 Storage Module,Tier 3ストレージモジュール,translated
item.rftoolsstorage.storage_module3,Tier 4 Storage Module,Tier 4ストレージモジュール,translated
item.rftoolsstorage.storage_module6,Remote Storage Module (DO NOT USE),リモートストレージモジュール (使用しないでください),translated
item.rftoolsstorage.storage_module_tablet,Storage Tablet,ストレージタブレット,translated
item.rftoolsstorage.tablet_scanner,Tablet (scanner),タブレット (スキャナー),translated
itemGroup.rftoolsstorage,RFTools Storage,,pending
message.rftoolsstorage.crafting_manager.gold,This is not functional yet,これはまだ機能していません,translated
message.rftoolsstorage.crafting_manager.header,WIP! Crafting Manager WIP!,進行中! クラフティングマネージャー 進行中!,translated
message.rftoolsstorage.dump_module.gold,Sneak right-click on a storage scanner to set the target for this dump module,ストレージスキャナーにShift+右クリックしてこのダンプモジュールのターゲットを設定します,translated
message.rftoolsstorage.dump_module.header,A module for a Screen that allows you to dump a lot of items into a linked Storage Scanner,ストレージスキャナーにリンクされた多くのアイテムをダンプできるスクリーン用モジュール,translated
message.rftoolsstorage.dump_module.info,Storage Scanner: ,ストレージスキャナー: ,translated
message.rftoolsstorage.dump_module.uses,Power usage: ,電力消費: ,translated
message.rftoolsstorage.modular_storage.header,This modular storage system can store a lot of items and allows easy searching and filtering. You must first insert a storage module item before you can use it,このモジュラーストレージシステムは大量のアイテムを保存でき、簡単な検索とフィルタリングが可能です。使用する前にストレージモジュールアイテムを挿入する必要があります,translated
message.rftoolsstorage.shiftmessage,<Press Shift>,<Shiftキーを押してください>,translated
message.rftoolsstorage.storage_control_module.gold,Sneak right-click on a storage scanner to set the target for this storage module,ストレージスキャナーにShift+右クリックしてこのストレージモジュールのターゲットを設定します,translated
message.rftoolsstorage.storage_control_module.header,This screen module allows you to monitor 9 different items through a storage scanner. This module can also be combined with a tablet for remote access to a storage scanner controlled system,このスクリーンモジュールでは、ストレージスキャナーを通じて9つの異なるアイテムを監視できます。このモジュールはタブレットと組み合わせてストレージスキャナーコントロールシステムへのリモートアクセスも可能です,translated
message.rftoolsstorage.storage_control_module.info,Storage Scanner: ,ストレージスキャナー: ,translated
message.rftoolsstorage.storage_control_module.uses,Power usage: ,電力消費: ,translated
message.rftoolsstorage.storage_module.advanced,Advanced: ,アドバンスド: ,translated
message.rftoolsstorage.storage_module.gold,This module supports a remote inventory. Link to another storage module in the remote storage block,このモジュールはリモートインベントリをサポートします。リモートストレージブロック内の別のストレージモジュールにリンクします,translated
message.rftoolsstorage.storage_module.header,This storage module is for the Modular Storage block,このストレージモジュールはモジュラーストレージブロック用です,translated
message.rftoolsstorage.storage_module.info,Supported stacks: ,サポートされているスタック: ,translated
message.rftoolsstorage.storage_module.items,Contents: ,コンテンツ: ,translated
message.rftoolsstorage.storage_module.remoteid,Remote ID: ,リモートID: ,translated
message.rftoolsstorage.storage_module.uuid,UUID: ,,pending
message.rftoolsstorage.storage_module.version,Version: ,バージョン: ,translated
message.rftoolsstorage.storage_scanner.gold,Infusing bonus: reduced power consumption,インフューズボーナス: 電力消費削減,translated
message.rftoolsstorage.storage_scanner.header,This machine will scan all nearby inventories and show them in a list. You can then search and access items from those inventories,このマシンはすべての近所のインベントリをスキャンしてリスト表示します。その後、それらのインベントリからアイテムを検索してアクセスできます,translated
message.rftoolsstorage.tablet_scanner.gold,"Tablet contains link to storage scanner: right click for scanner gui, sneak right click for tablet gui",タブレットにはストレージスキャナーへのリンクが含まれています: スキャナーGUIは右クリック、タブレットGUIはShift+右クリック,translated
message.rftoolsstorage.tablet_scanner.header,Tablet that can be used to reference remote gui's and information,リモートGUIと情報を参照するために使用できるタブレット,translated
