key,source_text,target_text,status
_comment,Tooltips,,pending
config.jeiintegration.tooltips.burnTimeTooltipMode,Burn Time Tooltip,燃焼時間のツールチップ,translated
config.jeiintegration.tooltips.durabilityTooltipMode,Durability Tooltip,耐久度のツールチップ,translated
config.jeiintegration.tooltips.enchantabilityTooltipMode,Enchantability Tooltip,エンチャント適性のツールチップ,translated
config.jeiintegration.tooltips.foodTooltipMode,Hunger/Saturation Tooltip,空腹度/飽和度のツールチップ,translated
config.jeiintegration.tooltips.maxStackSizeTooltipMode,Max Stack Size Tooltip,最大スタック数のツールチップ,translated
config.jeiintegration.tooltips.nbtTooltipMode,NBT Data Tooltip,NBTデータのツールチップ,translated
config.jeiintegration.tooltips.registryNameTooltipMode,Registry Name Tooltip,レジストリ名のツールチップ,translated
config.jeiintegration.tooltips.tagsTooltipMode,Tags Tooltip,タグのツールチップ,translated
config.jeiintegration.tooltips.translationKeyTooltipMode,Translation Key Tooltip,翻訳キーのツールチップ,translated
tooltip.jeiintegration.burnTime,Burn Time:,燃焼時間:,translated
tooltip.jeiintegration.burnTime.suffix,ticks,,pending
tooltip.jeiintegration.durability,Durability:,耐久度:,translated
tooltip.jeiintegration.enchantability,Enchantability:,エンチャント適性:,translated
tooltip.jeiintegration.hunger,Hunger:,空腹度:,translated
tooltip.jeiintegration.maxStackSize,Max Stack Size:,最大スタック数:,translated
tooltip.jeiintegration.nbtTagData,NBT:,,pending
tooltip.jeiintegration.registryName,ID:,,pending
tooltip.jeiintegration.saturation,Saturation:,飽和度:,translated
tooltip.jeiintegration.tags,Tags:,タグ:,translated
tooltip.jeiintegration.translationKey,Translation Key:,翻訳キー:,translated
